126.4213562373	156.4213562373	30.0000000000
122.6752903032	147.1495176916	30.0000000000
122.6752903032	147.1495176916	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
132.5777354508	148.5413438655	30.0000000000
132.5777354508	148.5413438655	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
136.3238013849	157.8131824112	30.0000000000
136.3238013849	157.8131824112	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
130.1674221715	165.6931947830	30.0000000000
130.1674221715	165.6931947830	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
120.2649770238	164.3013686091	30.0000000000
120.2649770238	164.3013686091	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
116.5189110897	155.0295300635	30.0000000000
116.5189110897	155.0295300635	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

126.4213562373	156.4213562373	30.0000000000
122.6752903032	147.1495176916	30.0000000000
122.6752903032	147.1495176916	40.0000000000
126.4213562373	156.4213562373	40.0000000000
#

